variant,region,ba_median,ba_lower_95,ba_upper_95,ci_width,ci_width_pct
ACD,Northeast,92.30767179940639,88.77103783114275,94.7470845402563,5.976046709113547,6.47405203989987
OP,Central Plains,75.06908965490577,67.35128660805175,82.57755651260085,15.226269904549099,20.28300859187795
WC,Pacific NW,73.72457527367249,63.45392794898102,83.20644907275808,19.752521123777058,26.792315927835272
LS,Lake States,78.46174042704456,69.49500164565762,90.85472285452668,21.35972120886906,27.223104015554938
PN,Pacific NW,76.86245213021641,69.8352190030285,90.87062180777774,21.03540280474924,27.367592656440547
OC,Pacific SW,59.986698577557576,51.6591266669323,71.3078745046952,19.648747837762905,32.75517456984032
BC,Pacific NW,66.67936673143716,55.58036832064786,79.95898012871484,24.378611808066985,36.56095281506814
NE,Northeast,102.6470946343309,88.4098434366516,126.10606419380635,37.69622075715475,36.724099100362686
CA,Pacific SW,58.43437052369641,48.2052752879803,69.7327034801139,21.5274281921336,36.84035268832708
KT,Intermountain,66.09767080128884,51.26787649785364,76.41182548012249,25.143948982268846,38.04059761479305
CS,Central States,125.73563045761011,104.84128983319832,154.50340389546193,49.66211406226361,39.49724821955416
WS,Intermountain,64.21656031192816,51.97709734249517,77.80149175899894,25.824394416503765,40.214540129622776
NC,Pacific SW,55.792252456943245,46.711898179573474,69.85717441266115,23.145276233087678,41.484749609185734
TT,Southern Rockies,51.56004565918151,31.461990866509282,58.53386710306134,27.071876236552058,52.505531929705064
BM,Intermountain,80.69659418395742,64.63498849057042,110.69220425352164,46.057215762951216,57.07454723300757
EC,Northern Rockies,55.188293171663624,37.487225880121585,71.06591313780014,33.57868725767855,60.84385895615902
IE,Intermountain,63.794591917385695,46.568587428056354,87.3798949477043,40.81130751964795,63.97298939148132
EM,Northern Rockies,64.2404817286903,42.89812994287583,94.4636398090104,51.56550986613457,80.26949437258814
SO,Intermountain,76.5852908284127,54.37821798667684,117.16225476563612,62.78403677895928,81.97923661297473
SN,Southern,18.913587412179798,6.343435885764233,29.631690721028775,23.288254835264542,123.12976024985925
AK,Pacific NW,80.25786911690305,55.001384373894,174.34064640862243,119.33926203472843,148.6947801478503
CR,Southern Rockies,97.21934738332268,52.87542408983463,243.33568306903092,190.46025897919628,195.90777361242445
ON,Lake States,85.70664595049364,54.646079566509435,271.1705484050403,216.52446883853085,252.63439776140692
UT,Southern Rockies,82.46216286443529,46.90056022107645,283.86481240296837,236.96425218189194,287.36118960577386
CI,Intermountain,85.66270302172634,26.719869086348886,278.3547794564444,251.63491037009553,293.75084079038953
