SurveyID,Cords_PRED_ac,BdFt_intl_PRED_ac
1,9.404599348947743,2165.6816365795075
2,25.6846724063363,7341.063757592901
3,8.954067311348217,2721.2926847274834
4,9.975789756984305,2774.286459722127
5,8.461949857539121,945.4856481311974
6,24.778581105159006,6372.4186575624635
7,2.8998009941692633,569.7572513586186
8,13.273700070875604,4395.435124467241
9,19.369133151104514,6800.717861943363
10,14.321034487087664,5028.274331021891
11,14.131259265826476,4961.642142223518
12,11.837345664991588,4156.223589041491
13,27.657928032727018,9531.528304557474
14,5.149362568610796,1645.8351801418435
15,8.495113479135355,2982.728732674191
16,25.523538083114552,8783.345758977666
18,14.992152434429727,4535.884470513242
19,17.877085139629163,5794.79239430068
20,24.57871621409166,8395.262285472993
21,19.18772429356135,6553.307115308968
22,21.683512582008003,7486.314035774147
23,18.97110404839384,6036.294280170379
25,19.168125412438375,6610.18474706864
26,19.51309369842053,6638.601018315634
27,12.882355233653833,4398.135387547237
28,22.784731443527075,7938.646365166986
29,11.383951122491888,3997.0317274527065
30,15.295394470064904,5370.382947267233
31,16.269813977858533,5296.72730914464
32,3.7900474619098055,1330.7277755149983
33,12.541694377250248,4190.572735118491
34,43.65231314314575,15326.812170260062
35,12.295466681289119,4317.074968097068
36,15.183443301575327,5331.07564810867
37,9.952431084888838,3494.4091364720807
38,22.195903125034636,6195.8289514640965
39,12.912413350159111,3627.878942227424
40,7.961508157768832,2340.2902964279574
41,12.260627859364838,3698.8677626614926
42,15.193260454382788,4988.896599919581
43,10.173255214931952,2127.821226455698
44,5.965843609738722,1414.0471563555598
45,7.067644196483524,2166.529806469859
46,11.344817173073649,2693.417477244217
47,8.136216624586659,2324.712035820653
48,14.16621431932386,3168.0887928589946
49,21.112497021446856,4404.564450985503
50,15.04112588469734,5120.010774672041
51,10.144337132383011,2621.30152187613
52,18.405523543596843,3826.422845487652
53,17.69800092390093,5003.425351520402
54,10.92589855768976,3711.027886070346
55,5.152206779715915,1566.1222667465854
56,9.613868794354211,3126.651265661657
57,11.71737000381043,2645.51743159741
58,22.446840387911735,7848.580567465655
59,14.843068818619518,4488.916212758529
60,9.33136510711087,3245.6777686535997
61,15.393016173632011,5404.659012075239
63,14.395786088430476,5054.520448826701
64,12.432248040280715,4365.100423031896
65,17.588562329223482,6107.418597202239
66,6.288434521465974,2008.9450879010285
67,12.357073890456062,4338.705943760128
68,8.23683522363078,1708.1675406246493
69,3.253277728801478,1142.2619581125189
70,18.28908978073107,6297.686516441296
71,8.25236180234742,2777.3201184696954
72,11.257881287034136,3952.767207447541
73,9.179450238588258,3156.593284370613
