var,stands,nat100,gom100,pct,gomMaxAGB,badrows
NE,60,67.6,56.2,-17,369.0,0
CS,60,158.7,125.4,-21,261.0,0
LS,59,168.7,120.2,-29,264.0,0
SN,60,48.0,12.5,-74,96.0,0
CR,59,5.8,2.6,-54,20.0,0
WS,60,266.4,168.5,-37,457.0,0
EC,59,109.6,96.2,-12,253.0,0
CA,60,303.3,241.6,-20,687.0,0
WC,60,253.2,138.5,-45,364.0,0
PN,58,335.5,204.1,-39,803.0,0
AK,60,10.7,7.0,-35,78.0,0
BM,60,123.0,107.1,-13,335.0,0
CI,60,14.6,3.7,-75,16.0,0
EM,59,18.6,8.6,-54,33.0,0
IE,60,111.5,81.2,-27,260.0,0
NC,60,396.8,382.1,-4,1122.0,0
SO,59,140.4,132.3,-6,465.0,0
UT,60,0.9,0.2,-82,5.0,0
TT,59,13.3,3.1,-77,15.0,0
