year,mean,p2_5,p97_5,ci_pct
2025,59.0,59.0,59.0,0.0
2030,86.7,86.2,87.4,1.4
2035,105.4,104.2,107.2,2.8
2040,122.6,120.8,124.9,3.3
2045,138.7,136.5,142.0,3.9
2050,153.9,151.3,157.5,4.1
2055,168.0,164.7,172.2,4.5
2060,180.8,177.0,185.3,4.6
2065,192.9,188.7,197.0,4.3
2070,203.8,199.9,206.8,3.4
2075,213.1,210.1,215.2,2.4
2080,220.7,218.7,222.3,1.6
2085,227.1,225.4,228.7,1.4
2090,233.1,231.2,234.8,1.5
2095,238.8,236.5,240.8,1.8
2100,244.3,241.5,246.6,2.1
2105,249.6,246.3,252.3,2.4
2110,254.8,250.8,258.3,2.9
2115,259.8,255.1,264.0,3.4
2120,264.7,259.3,269.6,3.9
2125,269.5,263.4,275.2,4.4
