ST,n,harvest_frac_yr,p_partial,p_clearcut,p_standrepl,disturbance_frac_yr
AK,8000,,,,,
AL,8000,0.0161124164115108,0.0259010494954175,0.00501543596168834,0.00501543596168834,0.106455233592022
AR,8000,0.0136485173608418,0.0255671905669355,0.00392319250934265,0.00392319250934265,0.111956299863821
AZ,8000,0.012560113959462,0.0193481573051694,0.00530276968586085,0.00530276968586085,0.132050965194062
CA,8000,0.0213854852419717,0.0258566524508305,0.0109047185507492,0.0109047185507492,0.309393769968238
CO,8000,0.0137997934566192,0.0297241716400619,0.00193668834302147,0.00193668834302147,0.324188904653003
CT,2757,0.016083932445203,0.0215559503521328,0.00912554071305588,0.00912554071305588,0.121791364348239
DE,1849,0.0218076572443048,0.0286049249172775,0.011055611794633,0.011055611794633,0.0999275050251871
FL,8000,0.0232773328712347,0.0304097665877153,0.0103032780182938,0.0103032780182938,0.206238971143223
GA,8000,0.0201565150541596,0.0304974088633276,0.00650922978602833,0.00650922978602833,0.123869669959203
IA,8000,0.00919425775964495,0.0187670384811014,0.00318993948531924,0.00318993948531924,0.240988166977281
ID,8000,0.0141731414913411,0.031680544338268,0.00164182986794546,0.00164182986794546,0.363048340980066
IL,8000,0.0152830763580586,0.0208498200214009,0.00854280111409114,0.00854280111409114,0.174808286936531
IN,8000,0.0168478928127783,0.0212624282203357,0.00958449016550871,0.00958449016550871,0.194730194375366
KS,8000,0.0210883694850657,0.0188441894719162,0.0154308318231663,0.0154308318231663,0.263430686275426
KY,8000,0.0137004870550862,0.020095580662741,0.00678659505355791,0.00678659505355791,0.154813324343553
LA,8000,0.0175838211574169,0.0282342063130611,0.00622028385471069,0.00622028385471069,0.0888369967319355
MA,4352,0.0121794649870893,0.0202112982749881,0.00532437145918497,0.00532437145918497,0.134768602233655
MD,5841,0.0175749879300575,0.0235445584751474,0.009375198043623,0.009375198043623,0.111146612050893
ME,8000,0.0165792379198914,0.0207280151250704,0.00897956025224497,0.00897956025224497,0.110494604031167
MI,8000,0.0103325036130114,0.0180051844632835,0.00359175757474056,0.00359175757474056,0.0951245732567401
MN,8000,0.00850317393575097,0.0227858268306591,0.000419833015454287,0.000419833015454287,0.0897037483525416
MO,8000,0.0100236447238083,0.018082120120235,0.00405731695049843,0.00405731695049843,0.194790584506296
MS,8000,0.0156009243249887,0.0248401136362054,0.0048454108049116,0.0048454108049116,0.113185594764066
MT,8000,0.00980702810226716,0.0236220904856917,0.00059237921177947,0.00059237921177947,0.363890883200505
NC,8000,0.0156094241092968,0.0217680178780148,0.00671454123364722,0.00671454123364722,0.110255194782968
ND,8000,0.00891869032324387,0.00935549513262437,0.00547398556676847,0.00547398556676847,0.301547411343326
NE,8000,0.0182366344761739,0.0197013967839376,0.0115002718235061,0.0115002718235061,0.375905018702552
NH,5654,0.00572227386267817,0.0131672655600899,0.000414777998486215,0.000414777998486215,0.144274068151141
NJ,6167,0.0153404732716043,0.0209681839941001,0.00830266838103883,0.00830266838103883,0.106957928528239
NM,8000,0.00991435084649192,0.0173317759567647,0.00353814700769458,0.00353814700769458,0.178713720651871
NV,8000,0.0126778719059974,0.0208825929310276,0.00503787808311301,0.00503787808311301,0.103997655942835
NY,8000,0.00806991246990685,0.0134924597683479,0.00322123523206394,0.00322123523206394,0.15018399000393
OH,8000,0.0149130286236377,0.0213021749794909,0.0074092396192918,0.0074092396192918,0.280454994507338
OK,8000,0.014547732884302,0.0231620545839379,0.00612661996393864,0.00612661996393864,0.14916845245123
OR,8000,0.0180312910405337,0.02687813786957,0.00849712898819863,0.00849712898819863,0.2773689188698
PA,8000,0.0124392873101041,0.020668557278993,0.00527985888091463,0.00527985888091463,0.164021872190573
RI,1220,0.0123936774795303,0.0209285792804797,0.0050768035233759,0.0050768035233759,0.105891883883833
SC,8000,0.0171293345440859,0.0273545718502606,0.00524879038322035,0.00524879038322035,0.118078785658509
SD,8000,0.0165604938324841,0.0319479218105816,0.00281963128272177,0.00281963128272177,0.354271653507437
TN,8000,0.0122091048829812,0.020587924001773,0.00500625750322418,0.00500625750322418,0.115282059914128
TX,8000,0.0254107526718453,0.0307306535184388,0.0136944432854056,0.0136944432854056,0.0943754705883534
UT,8000,0.0131362080209703,0.0274667958703316,0.00293014539441848,0.00293014539441848,0.130977050566405
VA,8000,0.0145050607638301,0.0206961082879599,0.00654130566634,0.00654130566634,0.0955227235950266
VT,5810,0.00770143228640527,0.0188221153573214,0.000578788575570977,0.000578788575570977,0.161340640024674
WA,8000,0.0121360190420832,0.023037790326995,0.00384238915930595,0.00384238915930595,0.301877869203334
WI,8000,0.00920730331102707,0.0219358867027518,0.000977769548116014,0.000977769548116014,0.10464773443942
WV,8000,0.0149034089754484,0.0193868945032371,0.0085924972618934,0.0085924972618934,0.183455198172647
WY,8000,0.0145158876100036,0.0319648716214515,0.0015724775581982,0.0015724775581982,0.429319671474654
