variant,n,inject,def_BA,cal_BA,def_TPH,cal_TPH,def_QMD,cal_QMD,def_VOL,cal_VOL
ne,55,1,9.9,9.7,-10.9,-4.1,11.2,4.7,23.9,22.7
acd,70,1,5.4,3.8,-21.4,-16.2,11.1,6.4,15.3,12.8
sn,51,1,16.4,16.1,-19.4,-6.5,22.3,12.1,18.4,15.8
ls,32,0,19.8,14.7,1.2,-7.8,8.9,10.3,22.4,19.1
cs,19,0,22.3,20.0,8.3,5.8,7.6,7.6,31.2,28.8
ie,26,1,3.8,2.2,-23.6,-12.8,11.7,3.5,-8.2,-10.5
kt,30,1,7.4,1.5,-47.0,-25.2,28.9,6.0,15.4,4.8
ci,23,1,1.7,-1.4,-25.4,-11.8,6.3,-3.7,-10.4,-14.1
cr,8,0,33.2,26.7,46.9,38.0,-10.2,-10.3,38.5,32.6
ut,8,1,13.4,12.1,-19.2,-5.6,16.3,6.9,37.0,32.7
ca,24,0,9.5,6.0,7.2,2.0,9.8,10.0,6.0,3.6
nc,30,1,7.5,10.0,-14.2,2.3,16.2,7.2,-3.7,-0.8
ec,44,1,-12.4,-1.1,-34.3,-9.1,12.2,-4.4,-16.4,-6.1
wc,44,1,5.9,3.0,-15.8,-16.2,4.7,-0.9,1.0,-0.6
pn,44,1,12.3,7.9,-16.0,-19.0,7.9,2.6,15.4,12.8
