sp_abbrev,n_variants,n_curves,MCW20_min,MCW20_max,MCW20_range,MCW20_mean,variants
MH,4,4,28.05,43.88,15.83,33.46,cr;pn;so;wc
AF,4,4,18.85,34.05,15.2,26.39,cr;pn;so;ut
LP,3,3,31.72,43.5,11.78,35.65,pn;so;ut
PY,2,2,32.6,43.88,11.28,38.24,pn;so
WF,4,4,26.33,37.05,10.72,31.1,cr;pn;so;ut
BM,2,2,34.0,43.88,9.88,38.94,pn;so
GF,3,3,26.33,32.46,6.13,28.37,cr;pn;so
DF,5,5,31.78,36.79,5.01,34.37,cr;pn;so;tt;ut
SF,2,2,34.69,39.5,4.81,37.09,pn;so
AS,4,4,37.05,41.56,4.51,38.18,pn;so;tt;ut
SP,2,2,26.09,30.34,4.25,28.21,pn;so
ES,4,4,28.0,31.72,3.72,28.96,pn;so;ut;wc
RC,3,3,34.05,37.05,3.0,36.03,cr;pn;so
WL,2,2,29.05,30.71,1.67,29.88,cr;so
LL,2,2,30.34,31.72,1.39,31.03,pn;wc
PP,3,3,29.05,30.34,1.29,29.91,pn;so;ut
RA,2,2,38.54,38.6,0.06,38.57,pn;so
WA,2,2,38.54,38.6,0.06,38.57,pn;so
NF,2,2,20.93,20.94,0.01,20.94,pn;so
WH,2,2,32.86,32.87,0.01,32.86,pn;so
WP,2,2,28.48,28.49,0.01,28.48,pn;so
BS,2,2,28.05,28.05,0.0,28.05,tt;ut
CB,1,1,31.78,31.78,0.0,31.78,cr
CH,1,1,34.0,34.0,0.0,34.0,pn
CW,1,1,32.9,32.9,0.0,32.9,pn
DG,1,1,34.0,34.0,0.0,34.0,pn
GC,1,1,34.0,34.0,0.0,34.0,pn
HT,1,1,41.56,41.56,0.0,41.56,pn
IC,2,2,27.34,27.35,0.0,27.34,pn;so
J,1,1,32.6,32.6,0.0,32.6,pn
JP,1,1,30.34,30.34,0.0,30.34,pn
JU,1,1,31.72,31.72,0.0,31.72,so
KP,1,1,31.72,31.72,0.0,31.72,pn
LM,2,2,31.72,31.72,0.0,31.72,tt;ut
OT,1,1,43.5,43.5,0.0,43.5,pn
PB,1,1,41.56,41.56,0.0,41.56,pn
PM,1,1,31.72,31.72,0.0,31.72,tt
RF,1,1,18.85,18.85,0.0,18.85,pn
RW,1,1,36.79,36.79,0.0,36.79,pn
SS,1,1,42.5,42.5,0.0,42.5,pn
WB,4,4,31.72,31.72,0.0,31.72,pn;so;tt;ut
WI,1,1,34.0,34.0,0.0,34.0,pn
WO,1,1,41.56,41.56,0.0,41.56,pn
YC,1,1,27.35,27.35,0.0,27.35,pn
