variant,n_plots,SDI_p50,SDI_p90,SDI_p95,SDI_p99,SDI_max,maxSDI_metric_p95
ne,1375,224,344,398,503,807,985
acd,1664,238,381,432,525,716,1068
sn,1079,200,316,360,427,520,889
ls,815,184,303,337,416,609,833
cs,466,156,231,258,336,374,636
ie,395,173,354,395,527,578,977
kt,387,168,334,392,468,555,968
ci,468,168,342,404,490,639,998
cr,321,160,338,397,481,509,981
ut,426,150,297,333,454,625,822
ca,467,184,413,459,529,683,1135
nc,645,192,404,468,536,619,1157
ec,850,221,426,473,584,723,1168
wc,850,221,426,473,584,723,1168
pn,850,221,426,473,584,723,1168
